sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
Pb_0698,129268,1343935,10.397,12.823,Pb,SFA-7,7463029
Pb_0699,110696,1059743,9.573,11.651,Pb,SFA-7,5693570
Pb_0701,135689,1451386,10.696,13.617,Pb,SFA-7,7951269
Pb_0702,112021,900035,8.035,9.308,Pb,SFA-7,4955337
Pb_0703,118705,1091174,9.192,10.883,Pb,SFA-7,6116287
Pb_0704,122294,2188375,17.894,22.573,Pb,SFA-7,11174160
Pb_0705,122267,1877906,15.359,19.085,Pb,SFA-7,9211553
Pb_0706,140494,2116708,15.066,19.343,Pb,SFA-7,11809668
Pb_0707,128652,2646067,20.568,25.091,Pb,SFA-7,13531594
Pb_0708,140925,1844664,13.09,17.24,Pb,SFA-7,10410270
Pb_0709,118844,852118,7.17,8.561,Pb,SFA-7,4300474
Pb_0710,105758,670593,6.341,7.281,Pb,SFA-7,3713444
Pb_0711,130196,1784980,13.71,16.849,Pb,SFA-7,9992211
Pb_0712,110397,1520822,13.776,16.811,Pb,SFA-7,8688835
Pb_0713,113583,1419900,12.501,15.148,Pb,SFA-7,7164333
Pb_0715,132681,2363135,17.811,22.109,Pb,SFA-7,13205225
Pb_0716,143661,1770333,12.323,16.02,Pb,SFA-7,8998037
Pb_0717,133078,1549756,11.645,14.386,Pb,SFA-7,8412526
Pb_0718,146880,2295321,15.627,20.575,Pb,SFA-7,11667669
Pb_0719,129722,1950542,15.036,18.457,Pb,SFA-7,11481180
Pb_0720,120706,1076157,8.916,10.67,Pb,SFA-7,5740441
Pb_0721,144137,3462614,24.023,31.151,Pb,SFA-7,18822254
Pb_0723,131921,2312902,17.532,21.836,Pb,SFA-7,12527942
Pb_0724,141340,2264937,16.025,20.663,Pb,SFA-7,12468957
Pb_0725,128952,2426460,18.817,23.167,Pb,SFA-7,13088803
Pb_0726,122782,2346376,19.11,24.311,Pb,SFA-7,11740411
Pb_0727,136929,1996216,14.578,18.44,Pb,SFA-7,11075845
Pb_0728,125043,2424162,19.387,24.774,Pb,SFA-7,12151351
Pb_0730,131188,2454540,18.71,23.216,Pb,SFA-7,13448661
Pb_0731,133221,3071280,23.054,30.281,Pb,SFA-7,15733996
Pb_0732,124222,1588032,12.784,15.316,Pb,SFA-7,8658788
Pb_0733,105915,910767,8.599,10.172,Pb,SFA-7,4800513
Pb_0734,135973,1616817,11.891,14.844,Pb,SFA-7,8947628
Pb_0735,96739,1894014,19.579,24.676,Pb,SFA-7,9547090
Pb_0736,110343,862641,7.818,9.041,Pb,SFA-7,4842514
Pb_0737,129339,1423505,11.006,13.584,Pb,SFA-7,7493136
Pb_0738,128076,1352720,10.562,12.906,Pb,SFA-7,7584839
Pb_0739,105293,715565,6.796,7.763,Pb,SFA-7,4034231
Pb_0772,118059,1018315,8.625,10.439,Pb,NAFO-3M,5135475
Pb_0773,122925,1374560,11.182,13.858,Pb,NAFO-3M,6686604
Pb_0774,117497,1546959,13.166,15.982,Pb,NAFO-3M,7653469
Pb_0775,122584,1582268,12.908,15.884,Pb,NAFO-3M,7963581
Pb_0776,141459,2620281,18.523,25.422,Pb,NAFO-3M,12867920
Pb_0777,136986,1520880,11.102,14.33,Pb,NAFO-3M,8187330
Pb_0778,139733,2355373,16.856,24.292,Pb,NAFO-3M,13412694
Pb_0779,136512,1981663,14.516,18.146,Pb,NAFO-3M,10571623
Pb_0780,127544,1391194,10.908,13.448,Pb,NAFO-3M,7427184
Pb_0781,129368,1450867,11.215,13.975,Pb,NAFO-3M,7922948
Pb_0783,131000,1144795,8.739,10.796,Pb,NAFO-3M,6041984
Pb_0784,119856,1355875,11.313,13.518,Pb,NAFO-3M,7224899
Pb_0785,125498,1426583,11.367,13.923,Pb,NAFO-3M,7500597
Pb_0786,98454,544965,5.535,6.345,Pb,NAFO-3M,2965635
Pb_0787,114217,862011,7.547,9.02,Pb,NAFO-3M,4423503
Pb_0789,119916,917027,7.647,9.234,Pb,NAFO-3M,4802748
Pb_0790,130364,1742624,13.367,16.452,Pb,NAFO-3M,9663474
Pb_0791,118443,1569398,13.25,16.077,Pb,NAFO-3M,7813652
Pb_0792,133869,1549103,11.572,14.734,Pb,NAFO-3M,8358600
Pb_0793,97447,458338,4.703,5.35,Pb,NAFO-3M,2466436
Pb_0794,118728,860347,7.246,8.569,Pb,NAFO-3M,4651707
Pb_0795,134445,1704519,12.678,16.146,Pb,NAFO-3M,8740133
Pb_0796,120328,1316785,10.943,13.633,Pb,NAFO-3M,6599405
Pb_0797,116136,891149,7.673,9.01,Pb,NAFO-3M,4848473
Pb_0798,128333,1783217,13.895,16.999,Pb,NAFO-3M,9464591
Pb_0799,119424,1546421,12.949,15.292,Pb,NAFO-3M,7977349
Pb_0800,121798,946444,7.771,9.319,Pb,NAFO-3M,5051111
Pb_0802,126104,1514472,12.01,15.106,Pb,NAFO-3M,7663448
Pb_0803,116346,2003588,17.221,20.882,Pb,NAFO-3M,9808171
Pb_0805,124960,1482249,11.862,14.308,Pb,NAFO-3M,7685713
Pb_0806,116312,1835591,15.782,19.389,Pb,NAFO-3M,9071423
Pb_0808,126993,2576595,20.289,26.311,Pb,NAFO-3M,12882755
Pb_0810,135844,2084945,15.348,19.509,Pb,NAFO-3M,10767475
Pb_0812,140877,2486758,17.652,22.995,Pb,NAFO-3M,12642929
Pb_0813,141145,1729223,12.251,16.448,Pb,NAFO-3M,9216912
Pb_0814,131673,2545498,19.332,25.484,Pb,NAFO-3M,12417871
Pb_0815,130297,1659657,12.737,15.713,Pb,NAFO-3M,8655297
Pb_0816,125224,3130491,24.999,31.945,Pb,NAFO-3M,15234409
Pb_0817,131562,1736317,13.198,16.586,Pb,NAFO-3M,9123920
Pb_0818,137527,2044722,14.868,18.744,Pb,NAFO-3M,10626908
Pb_0819,112031,857963,7.658,8.938,Pb,NAFO-3M,4580474
Pb_0837,115343,1292886,11.209,13.585,Pb,NAFO-3M,6471376
Pb_0838,120171,1173486,9.765,11.715,Pb,NAFO-3M,6304097
Pb_0839,112158,961464,8.572,10.175,Pb,NAFO-3M,4830780
Pb_0840,132416,2177678,16.446,20.384,Pb,NAFO-3M,11394410
Pb_0841,130855,1861106,14.223,17.675,Pb,NAFO-3M,9830930
Pb_0842,135537,2463354,18.175,22.693,Pb,NAFO-3M,13642303
Pb_0843,136590,1600745,11.719,14.788,Pb,NAFO-3M,8536956
Pb_0844,139378,3077036,22.077,28.236,Pb,NAFO-3M,15984281
Pb_0845,120531,1238612,10.276,12.199,Pb,NAFO-3M,6495970
Pb_0846,133304,1890839,14.184,17.892,Pb,NAFO-3M,10125196
Pb_0847,126655,2195802,17.337,22.262,Pb,NAFO-3M,11031410
Pb_0849,142281,2630776,18.49,23.844,Pb,NAFO-3M,13516978
Pb_0850,133957,3077611,22.975,28.946,Pb,NAFO-3M,16590177
Pb_0851,129789,2090557,16.107,20.185,Pb,NAFO-3M,11034525
Pb_0852,137272,1671387,12.176,15.321,Pb,NAFO-3M,8980632
Pb_0853,128420,1284948,10.006,12.181,Pb,NAFO-3M,6872923
Pb_0854,133755,1361978,10.183,12.678,Pb,NAFO-3M,7518749
Pb_0855,143982,2850778,19.8,25.628,Pb,NAFO-3M,15317524
Pb_0856,135652,1670639,12.316,15.518,Pb,NAFO-3M,8806866
Pb_0858,136145,2238716,16.444,21.231,Pb,NAFO-3M,11824684
Pb_0859,118996,1207714,10.149,12.041,Pb,NAFO-3M,6245684
Pb_0860,120258,1029726,8.563,10.188,Pb,NAFO-3M,5443643
Pb_0861,114687,1209269,10.544,12.517,Pb,NAFO-3M,6105316
Pb_0862,128732,1503564,11.68,14.294,Pb,NAFO-3M,7814350
Pb_0863,128982,1354753,10.503,12.891,Pb,NAFO-3M,7422610
Pb_0864,122386,899031,7.346,8.816,Pb,NAFO-3M,4854093
Pb_0865,126697,1814201,14.319,17.354,Pb,NAFO-3M,9750839
Pb_0866,153874,4002939,26.014,36.196,Pb,NAFO-3M,20098602
Pb_0867,115571,844397,7.306,8.672,Pb,NAFO-3M,4787855
Pb_0867_replica,115422,1218811,10.56,12.678,Pb,NAFO-3M,6209765
Pb_0868,131423,1646823,12.531,15.599,Pb,NAFO-3M,8917727
Pb_0869,131886,1752412,13.287,16.646,Pb,NAFO-3M,9471900
Pb_0870,129529,1481735,11.439,13.996,Pb,NAFO-3M,7692396
Pb_0871,124891,2977684,23.842,29.967,Pb,NAFO-3M,14675813
Pb_0872,126065,1266216,10.044,12.173,Pb,NAFO-3M,6633330
Pb_0873,120551,1049083,8.702,10.329,Pb,NAFO-3M,5600800
Pb_0874,136328,1857899,13.628,17.685,Pb,NAFO-3M,9789385
Pb_0875,98132,481358,4.905,5.518,Pb,NAFO-3M,2518048
Pb_0876,159068,2664679,16.752,23.924,Pb,NAFO-3M,14086701
Pb_0877,139022,2634922,18.953,26.349,Pb,NAFO-3M,13815376
Pb_0878,113932,1027506,9.019,10.877,Pb,NAFO-3M,5102688
Pb_0879,65735,178862,2.721,2.97,Pb,NAFO-3M,1019845
Pb_0881,137024,1166726,8.515,10.933,Pb,NAFO-3M,6132844
Pb_0882,50646,192747,3.806,4.067,Pb,NAFO-3M,991959
Pb_0883,120689,1706680,14.141,17.685,Pb,NAFO-3M,8531355
Pb_0884,113553,1354456,11.928,14.367,Pb,NAFO-3M,6867703
Pb_0885,126144,1243049,9.854,12.111,Pb,NAFO-3M,6642026
Pb_0886,149755,3232386,21.584,28.969,Pb,NAFO-3M,17057209
Pb_0887,118070,1509523,12.785,15.623,Pb,NAFO-3M,7934191
Pb_0888,129220,2227394,17.237,21.119,Pb,NAFO-3M,11406975
Pb_0889,154652,3633413,23.494,32.879,Pb,NAFO-3M,18309741
Pb_0890,156532,1917596,12.251,17.241,Pb,NAFO-3M,10337551
Pb_0891,126882,3001503,23.656,30.379,Pb,NAFO-3M,14954031
Pb_0892,133794,1373073,10.263,12.999,Pb,NAFO-3M,7545141
Pb_0893,146163,1954171,13.37,18.12,Pb,NAFO-3M,10743100
Pb_0894,146965,3980058,27.082,35.467,Pb,NAFO-3M,21644739
Pb_0895,143111,1661930,11.613,15.073,Pb,NAFO-3M,8877410
Pb_0896,139581,2353451,16.861,21.433,Pb,NAFO-3M,12217770
Pb_0897,138108,1811102,13.114,16.608,Pb,NAFO-3M,9884000
Pb_0898,104052,775520,7.453,8.631,Pb,NAFO-3M,3918562
Pb_0899,128029,1269890,9.919,12.07,Pb,NAFO-3M,6848900
Pb_0900,123643,1146080,9.269,11.125,Pb,NAFO-3M,6311110
Pb_0901,155195,3668695,23.639,32.691,Pb,NAFO-3M,19819831
Pb_0902,125035,1377454,11.017,13.312,Pb,NAFO-3M,7302781
Pb_0903,132155,1877258,14.205,17.616,Pb,NAFO-3M,10336470
Pb_0904,125013,1112821,8.902,10.802,Pb,NAFO-3M,6214235
Pb_0905,111714,1521510,13.62,16.152,Pb,NAFO-3M,7451740
Pb_0906,129475,2962074,22.878,28.937,Pb,NAFO-3M,14314544
Pb_0907,129756,1183995,9.125,11.342,Pb,NAFO-3M,6523263
Pb_0908,139394,2036025,14.606,18.532,Pb,NAFO-3M,10771914
Pb_0910,118488,1012567,8.546,10.079,Pb,NAFO-3M,5298732
Pb_0911,130568,1407774,10.782,13.416,Pb,NAFO-3M,7706760
Pb_0911_replica,108570,941674,8.673,10.196,Pb,NAFO-3M,4761553
Pb_0912,117115,1386015,11.835,14.259,Pb,NAFO-3M,7047046
Pb_0913,134534,1709991,12.71,16.265,Pb,NAFO-3M,9023926
Pb_0921,60170,270036,4.488,4.842,Pb,NAFO-3M,1452108
Pb_0922,115256,1060960,9.205,10.849,Pb,NAFO-3M,5590962
Pb_0923,143283,2117794,14.78,19.599,Pb,NAFO-3M,10766253
Pb_0951,141309,1587420,11.234,14.798,Pb,SFA-13,8577769
Pb_0952,129699,1219616,9.403,11.623,Pb,SFA-13,7029553
Pb_0954,123478,1671250,13.535,16.771,Pb,SFA-13,8463140
Pb_0955,132088,1678392,12.707,15.701,Pb,SFA-13,8792885
Pb_0956,125967,1008876,8.009,9.673,Pb,SFA-13,5363349
Pb_0959,134119,1405987,10.483,13.019,Pb,SFA-13,7395081
Pb_0960,121008,1701173,14.058,18.207,Pb,SFA-13,9477790
Pb_0966,100548,590349,5.871,6.648,Pb,SFA-13,3406456
Pb_0967,123612,1046502,8.466,10.207,Pb,SFA-13,5628509
Pb_0968,114855,1643577,14.31,17.872,Pb,SFA-13,9129921
Pb_0971,138487,1791720,12.938,16.423,Pb,SFA-13,9967803
Pb_0972,114652,1083268,9.448,11.308,Pb,SFA-13,5574608
Pb_0973,129761,1613308,12.433,15.146,Pb,SFA-13,8450384
Pb_0975,108437,570635,5.262,6.109,Pb,SFA-13,3135324
Pb_0976,126079,1364022,10.819,13.078,Pb,SFA-13,7400017
Pb_0980,133836,1483638,11.085,14.131,Pb,SFA-13,7841531
Pb_0981,133073,1536124,11.543,14.284,Pb,SFA-13,8263940
Pb_0984,127370,1930373,15.156,19.052,Pb,SFA-13,9412326
Pb_0985,130704,1564743,11.972,14.837,Pb,SFA-13,8173395
Pb_0986,134471,1630691,12.127,15.157,Pb,SFA-13,8659482
Pb_0987,156437,2728542,17.442,24.247,Pb,SFA-13,15085998
Pb_0988,110691,1016367,9.182,10.6,Pb,SFA-13,5514011
Pb_0989,115602,1373784,11.884,14.205,Pb,SFA-13,6943242
Pb_0991,134995,2075813,15.377,19.276,Pb,SFA-13,11700768
Pb_0992,142995,2420004,16.924,22.257,Pb,SFA-13,13039600
Pb_0993,127793,1548486,12.117,15.001,Pb,SFA-13,8399252
Pb_0994,124354,1269212,10.206,12.364,Pb,SFA-13,7280975
Pb_0995,124643,2309068,18.525,23.539,Pb,SFA-13,11620636
Pb_0996,145034,2494299,17.198,22.886,Pb,SFA-13,13588485
Pb_0997,141461,2262451,15.993,20.774,Pb,SFA-13,11669345
Pb_1022,137829,3033256,22.007,27.843,Pb,SFA-15,16053208
Pb_1023,134384,1979355,14.729,18.41,Pb,SFA-15,10583772
Pb_1024,124992,1342263,10.739,13.053,Pb,SFA-15,7335723
Pb_1025,131709,1808841,13.734,16.932,Pb,SFA-15,9337043
Pb_1026,141402,2628339,18.588,24.199,Pb,SFA-15,13706632
Pb_1027,123471,1950434,15.797,20.632,Pb,SFA-15,10836135
Pb_1028,117233,780848,6.661,7.849,Pb,SFA-15,4314235
Pb_1029,111137,1088564,9.795,11.612,Pb,SFA-15,5303716
Pb_1030,140990,2473572,17.544,22.701,Pb,SFA-15,13052719
Pb_1031,120999,1052223,8.696,10.375,Pb,SFA-15,5653092
Pb_1032,111720,865231,7.745,9.249,Pb,SFA-15,4421082
Pb_1033,125292,1198332,9.564,11.552,Pb,SFA-15,6642903
Pb_1034,139160,1534959,11.03,14.015,Pb,SFA-15,8397209
Pb_1035,126104,1199544,9.512,11.654,Pb,SFA-15,6264630
Pb_1036,146020,2896202,19.834,25.794,Pb,SFA-15,15540896
Pb_1037,107936,798277,7.396,8.642,Pb,SFA-15,4073499
Pb_1038,118988,2342172,19.684,24.99,Pb,SFA-15,12308486
Pb_1039,127790,1385340,10.841,13.297,Pb,SFA-15,7464515
Pb_1040,133060,1408233,10.583,13.384,Pb,SFA-15,7870116
Pb_1041,124188,2637689,21.239,26.625,Pb,SFA-15,12992172
Pb_1042,111466,779256,6.991,8.113,Pb,SFA-15,4239438
Pb_1043,122566,1307537,10.668,12.939,Pb,SFA-15,7290165
Pb_1044,135567,1893009,13.964,17.875,Pb,SFA-15,10168580
Pb_1045,112665,1134369,10.069,11.977,Pb,SFA-15,5481765
Pb_1046,144558,2625029,18.159,23.689,Pb,SFA-15,13834685
Pb_1047,135087,1996750,14.781,18.85,Pb,SFA-15,10225738
Pb_1048,133052,1426639,10.722,13.426,Pb,SFA-15,7580555
Pb_1049,128977,1287388,9.982,12.481,Pb,SFA-15,6949394
Pb_1050,113498,1092725,9.628,11.469,Pb,SFA-15,5578067
Pb_1051,124731,1250810,10.028,12.147,Pb,SFA-15,6848150
Pb_1053,129687,1444413,11.138,13.815,Pb,SFA-9,7730050
Pb_1054,83932,469613,5.595,6.285,Pb,SFA-9,2622094
Pb_1056,124707,969028,7.77,9.667,Pb,SFA-9,5230654
Pb_1057,118999,851309,7.154,8.519,Pb,SFA-9,4690215
Pb_1058,87526,396108,4.526,5.117,Pb,SFA-9,2192233
Pb_1059,84456,479925,5.683,6.437,Pb,SFA-9,2624213
Pb_1060,114759,1175958,10.247,12.659,Pb,SFA-9,5963427
Pb_1061,94395,562376,5.958,6.782,Pb,SFA-9,3354227
Pb_1062,59963,206350,3.441,3.708,Pb,SFA-9,990735
Pb_1063,154655,1579563,10.213,14.535,Pb,SFA-9,8690637
Pb_1064,125118,889502,7.109,8.681,Pb,SFA-9,4843089
Pb_1065,134310,1174780,8.747,10.984,Pb,SFA-9,6371907
Pb_1066,136147,1394819,10.245,13.137,Pb,SFA-9,7914210
Pb_1067,131969,1018655,7.719,9.579,Pb,SFA-9,5824597
Pb_1068,105549,611306,5.792,6.795,Pb,SFA-9,3527084
Pb_1074,72131,312123,4.327,4.78,Pb,SFA-9,1509482
Pb_1075,124930,1238328,9.912,12.503,Pb,SFA-9,6340714
Pb_1077,130745,1037194,7.933,9.921,Pb,SFA-9,6058576
Pb_1078,133739,1284385,9.604,12.291,Pb,SFA-9,6815441
Pb_1079,114768,840939,7.327,9.027,Pb,SFA-9,4307644
Pb_1080,146964,1294475,8.808,12.001,Pb,SFA-9,6715215
Pb_1081,87422,355613,4.068,4.598,Pb,SFA-9,1920235
Pb_1082,127610,943956,7.397,9.063,Pb,SFA-9,5312768
Pb_1083,95911,473944,4.941,5.696,Pb,SFA-9,2848171
Pb_1084,131616,1175800,8.934,11.537,Pb,SFA-9,6469809
Pb_1085,91021,566058,6.219,7.084,Pb,SFA-9,2813257
Pb_1086,124914,1304850,10.446,12.834,Pb,SFA-9,7269249
Pb_1087,122275,1031959,8.44,10.173,Pb,SFA-9,5564774
Pb_1088,61222,215266,3.516,3.874,Pb,SFA-9,1253408
Pb_1089,113899,866278,7.606,9.141,Pb,SFA-9,5073771
Pb_1089_replica,23286,59620,2.56,2.66,Pb,SFA-9,338398
Pb_1090,124025,978455,7.889,9.768,Pb,SFA-9,5457771
Pb_1091,138794,1214875,8.753,11.533,Pb,SFA-12,6456747
Pb_1092,106781,552371,5.173,6.106,Pb,SFA-12,3233510
Pb_1093,137718,1646655,11.957,15.042,Pb,SFA-12,8864745
Pb_1094,46013,160574,3.49,3.739,Pb,SFA-12,919004
Pb_1095,141284,1433334,10.145,13.365,Pb,SFA-12,7751551
Pb_1096,130180,1089862,8.372,10.627,Pb,SFA-12,5937723
Pb_1097,122700,642381,5.235,6.536,Pb,SFA-12,3743858
Pb_1098,93186,424443,4.555,5.325,Pb,SFA-12,2375535
Pb_1099,108642,596697,5.492,6.608,Pb,SFA-12,3415996
Pb_1100,104709,906462,8.657,10.054,Pb,SFA-12,4583068
Pb_1101,94501,431263,4.564,5.3,Pb,SFA-12,2457733
Pb_1102,101945,672877,6.6,7.772,Pb,SFA-12,3374663
Pb_1103,139305,1928901,13.847,18.133,Pb,SFA-12,10142603
Pb_1104,135096,1610766,11.923,15.117,Pb,SFA-12,8658768
Pb_1105,120877,1282522,10.61,13.184,Pb,SFA-12,6321831
Pb_1106,105083,783290,7.454,8.757,Pb,SFA-12,3949948
Pb_1107,122245,1068268,8.739,10.992,Pb,SFA-12,5780575
Pb_1108,78933,241015,3.053,3.438,Pb,SFA-12,1415164
Pb_1109,126186,1680964,13.321,16.608,Pb,SFA-12,8316028
Pb_1110,134773,910156,6.753,8.704,Pb,SFA-12,5195307
Pb_1111,113463,623418,5.494,6.536,Pb,SFA-12,3487552
Pb_1112,130536,971419,7.442,9.417,Pb,SFA-12,5444671
Pb_1113,155005,1536605,9.913,13.744,Pb,SFA-12,8165666
Pb_1114,36030,114626,3.181,3.388,Pb,SFA-12,789839
Pb_1115,58790,171624,2.919,3.203,Pb,SFA-12,1075836
Pb_1116,143192,1918419,13.398,17.337,Pb,SFA-12,10595150
Pb_1117,144841,1832792,12.654,16.587,Pb,SFA-12,10205530
Pb_1118,152429,1335242,8.76,12.474,Pb,SFA-12,7767458
Pb_1119,144979,1534199,10.582,14.071,Pb,SFA-12,8448587
Pb_1120,124496,913738,7.339,9.048,Pb,SFA-12,5440897
Pb_1121,155097,2637572,17.006,23.429,Pb,SFA-12,14102071
Pb_1122,152851,1417030,9.271,13.089,Pb,SFA-12,8027883
Pb_1122_replica,139890,1162447,8.31,10.854,Pb,SFA-12,6424925
Pb_1123,136411,1460418,10.706,13.479,Pb,SFA-10,7866065
Pb_1124,116505,1633347,14.02,16.941,Pb,SFA-10,8124887
Pb_1125,120023,1622426,13.518,16.475,Pb,SFA-10,8316296
Pb_1126,129592,1236682,9.543,11.763,Pb,SFA-10,6602745
Pb_1127,145847,2003686,13.738,18.109,Pb,SFA-10,10814686
Pb_1128,122043,1253329,10.27,12.387,Pb,SFA-10,6780800
Pb_1129,117090,696016,5.944,7.083,Pb,SFA-10,3842278
Pb_1130,128932,1572498,12.196,15.06,Pb,SFA-10,8301511
Pb_1131,120371,1566583,13.015,16.353,Pb,SFA-10,7806263
Pb_1132,127235,837524,6.582,8.083,Pb,SFA-10,4565441
Pb_1133,142462,2200450,15.446,20.09,Pb,SFA-10,11652252
Pb_1134,128399,1217221,9.48,11.781,Pb,SFA-10,6730909
Pb_1135,133218,1545449,11.601,14.513,Pb,SFA-10,8455004
Pb_1136,120956,1837666,15.193,19.437,Pb,SFA-10,9998066
Pb_1137,121991,920917,7.549,9.322,Pb,SFA-10,5169314
Pb_1138,138149,1613002,11.676,14.848,Pb,SFA-10,8575119
Pb_1139,118898,1421756,11.958,14.48,Pb,SFA-10,7300431
Pb_1140,123255,1545961,12.543,15.52,Pb,SFA-10,7853142
Pb_1141,128338,1117131,8.705,10.799,Pb,SFA-10,5888018
Pb_1142,109927,785413,7.145,8.469,Pb,SFA-10,4036389
Pb_1143,125173,1024552,8.185,9.899,Pb,SFA-10,5511909
Pb_1144,110304,910245,8.252,9.71,Pb,SFA-10,5064308
Pb_1145,110842,1291942,11.656,13.779,Pb,SFA-10,6336041
Pb_1146,123970,1571682,12.678,16.831,Pb,SFA-10,8664862
Pb_1148,97346,559558,5.748,6.579,Pb,SFA-10,2935610
Pb_1149,129962,1041791,8.016,9.895,Pb,SFA-10,5550610
Pb_1150,122190,940582,7.698,9.193,Pb,SFA-10,5161146
Pb_1151,132964,1627180,12.238,15.339,Pb,SFA-10,8501762
Pb_1152,122490,896056,7.315,8.869,Pb,SFA-10,4758727
Pb_1153,150343,2423826,16.122,21.86,Pb,SFA-10,13213786
Pb_1154,147900,2228334,15.066,20.545,Pb,SFA-10,12015991
Pb_1155,127219,1156797,9.093,11.338,Pb,SFA-10,6293044
Pb_1156,112535,708964,6.3,7.345,Pb,SFA-10,3819211
Pb_1157,132764,1129794,8.51,10.642,Pb,SFA-10,6039430
Pb_1158,141572,1382021,9.762,12.777,Pb,SFA-10,7406559
Pb_1159,121650,1210477,9.95,11.944,Pb,SFA-10,6659542
Pb_1160,146630,1501912,10.243,13.601,Pb,SFA-10,8281346
Pb_1161,109885,703053,6.398,7.555,Pb,SFA-10,4092330
Pb_1162,83687,483169,5.774,6.516,Pb,SFA-10,2524898
Pb_1163,76437,349794,4.576,5.048,Pb,SFA-10,1863112
Pb_1164,103517,933958,9.022,10.454,Pb,SFA-10,4752790
Pb_1165,118852,1743747,14.672,17.939,Pb,SFA-10,9016493
Pb_1166,118241,807521,6.829,8.179,Pb,SFA-10,4317816
Pb_1167,43362,100155,2.31,2.449,Pb,SFA-10,531691
Pb_1168,85143,316548,3.718,4.202,Pb,SFA-10,1666954
Pb_1169,118200,1484829,12.562,15.526,Pb,SFA-10,7661376
Pb_1170,113469,1047407,9.231,11.269,Pb,SFA-10,5041076
Pb_1171,45142,118024,2.615,2.793,Pb,SFA-10,604643
Pb_1172,110119,655947,5.957,7.035,Pb,SFA-10,3434768
Pb_1173,105935,668741,6.313,7.481,Pb,SFA-10,3494863
Pb_1174,126820,1202958,9.486,11.619,Pb,SFA-10,6450178
Pb_1175,153020,2106352,13.765,18.759,Pb,SFA-10,11513961
Pb_1176,125991,2517458,19.981,26.369,Pb,SFA-10,13232524
Pb_1177,142354,1582415,11.116,14.692,Pb,SFA-10,8577423
Pb_1178,104147,574605,5.517,6.556,Pb,SFA-10,3233001
Pb_1179,104824,625068,5.963,6.917,Pb,SFA-10,3268420
Pb_1180,70848,290544,4.101,4.506,Pb,SFA-10,1421636
Pb_1181,135234,1339053,9.902,12.581,Pb,SFA-10,6910176
Pb_1182,124276,1186771,9.549,11.517,Pb,SFA-10,6476557
Pb_1183,51184,145325,2.839,3.051,Pb,SFA-10,759674
Pb_1184,160896,1894585,11.775,16.433,Pb,SFA-10,10076742
Pb_1185,132557,1491326,11.25,14.24,Pb,SFA-10,8506577
Pb_1186,114207,867981,7.6,9.251,Pb,SFA-10,4414453
Pb_1187,130474,1312522,10.06,12.602,Pb,SFA-8,7228153
Pb_1188,110363,902700,8.179,9.594,Pb,SFA-8,5154420
Pb_1189,123247,1183166,9.6,11.641,Pb,SFA-8,6769178
Pb_1190,132952,1593805,11.988,14.915,Pb,SFA-8,8748599
Pb_1191,169159,3915500,23.147,34.369,Pb,SFA-8,20685453
Pb_1191_replica,96542,652294,6.757,7.708,Pb,SFA-8,3299720
Pb_1192,132871,1670277,12.571,15.761,Pb,SFA-8,9137464
Pb_1193,120539,985916,8.179,9.929,Pb,SFA-8,5412920
Pb_1194,137062,1310162,9.559,12.347,Pb,SFA-8,7090331
Pb_1195,119710,1832057,15.304,19.016,Pb,SFA-8,9083513
Pb_1196,121158,897733,7.41,9.062,Pb,SFA-8,4827937
Pb_1197,128315,1168630,9.108,11.41,Pb,SFA-8,6513810
Pb_1198,84060,373000,4.437,4.959,Pb,SFA-8,2218300
Pb_1199,107633,721465,6.703,7.809,Pb,SFA-8,4165448
Pb_1200,126188,930881,7.377,9.099,Pb,SFA-8,5117768
Pb_1201,108898,1096016,10.065,12.34,Pb,SFA-8,6379937
Pb_1202,81078,317126,3.911,4.334,Pb,SFA-8,1879930
Pb_1203,101468,538284,5.305,6.081,Pb,SFA-8,2892030
Pb_1204,136850,1454357,10.627,13.775,Pb,SFA-8,7996161
Pb_1205,142655,1839148,12.892,16.743,Pb,SFA-8,9876904
Pb_1206,37008,113491,3.067,3.238,Pb,SFA-8,695502
Pb_1206_replica,65141,199165,3.057,3.367,Pb,SFA-8,1387217
Pb_1207,109756,1173857,10.695,12.607,Pb,SFA-8,6020078
Pb_1207_replica,138285,1712216,12.382,15.92,Pb,SFA-8,9430859
Pb_1208,140135,1777555,12.685,16.716,Pb,SFA-8,9825399
Pb_1210,132887,1509925,11.362,14.29,Pb,SFA-8,8315732
Pb_1211,137800,4361034,31.648,42.815,Pb,SFA-8,21941686
Pb_1212,137606,1689418,12.277,15.657,Pb,SFA-8,8897788
Pb_1213,77628,348441,4.489,5.035,Pb,SFA-8,1826368
Pb_1214,99380,430586,4.333,5.005,Pb,SFA-8,2515928
Pb_1215,123370,1058066,8.576,10.474,Pb,SFA-8,5918703
Pb_1216,122958,1080102,8.784,11.018,Pb,SFA-8,5863925
Pb_1217,130900,1117189,8.535,10.61,Pb,SFA-8,6269817
Pb_1218,110819,1210138,10.92,13.538,Pb,SFA-8,6893169
Pb_1219,111362,661853,5.943,6.967,Pb,SFA-8,3716485
Pb_1220,136092,1614900,11.866,15.136,Pb,SFA-8,8583934
Pb_1221,135218,1573865,11.639,14.636,Pb,SFA-8,8603522
Pb_1222,126834,922709,7.275,8.9,Pb,SFA-8,5163146
