models,inertia,r2,p,PropVariance,PropVarianceTotal
env,3.686811049837915,0.04163252352087643,0.001,1,0.12042571711090298
Tbtm.Winter,0.5814940827181188,0.0031809880345124997,0.03,0.15772277853612357,0.01899387870993682
Tbtm.Summer,0.5666003590231303,0.0026153049372995563,0.101,0.1536830478600307,0.01850739124633342
Sbtm.ann,0.7988176507743382,0.011103034691756997,0.001,0.21666899658702524,0.026092519289692306
SSS.ann,0.5196810425559432,7.420153218148373e-4,0.401,0.14095678773090098,0.01697482224414308
SST.Larval,0.7565103181543699,0.009532667065798361,0.001,0.20519367766016341,0.024710595778848654
confounded,0.4637075966120153,NA,NA,0.1257747116257562,0.01514650984194872
total,30.61481499373295,NA,NA,NA,1
