models,inertia,r2,p,PropVariance,PropVarianceTotal
full,9.796219098146002,0.19045590385194033,0.001,1,0.3199829592356299
env,1.831126498643048,0.012487924001754136,0.001,0.18692175831281688,0.05981177737046235
structure,3.864371734473018,0.08628100011888507,0.001,0.39447583764274685,0.12622554587588003
geography,1.3519322256139434,0.01338369097289549,0.001,0.13800551131709635,0.044159411902070705
confounded,2.7487886394159933,NA,NA,0.28059689272734,0.08978622408721686
unexplained,20.818595895586945,NA,NA,NA,0.68001704076437
total,30.61481499373295,NA,NA,NA,1
